type,raw,value,package,tolerance,voltage,price,supplier
C,22uF,2.2e-05,,,,0.03,reichelt
C,10uF,9.999999999999999e-06,,,,0.02,reichelt
C,4.7uF,4.7e-06,,,,0.04,reichelt
C,3.3uF,3.2999999999999997e-06,,,,0.07,reichelt
C,1uF,"0,000001",,,,0.02,reichelt
C,100nF,1.0000000000000001e-07,,,,0.02,reichelt
R,390kOhm,390000.0,,1%,,0.02,reichelt
R,330kOhm,330000.0,,1%,,0.02,reichelt
R,270kOhm,270000.0,,1%,,0.02,reichelt
R,220kOhm,220000.0,,1%,,0.02,reichelt
R,110kOhm,110000.0,„0805“,0.1%,,0.37,reichelt
R,100kOhm,100000.0,,1%,,0.02,reichelt
R,10kOhm,10000.0,,1%,,0.03,reichelt
R,2kOhm,2000.0,,0.1%,,0.37,reichelt
R,1kOhm,1000.0,,1%,,0.03,reichelt
R,470Ohm,470.0,,1%,,0.03,reichelt
R,330Ohm,330.0,,1%,,0.03,reichelt
R,100Ohm,100.0,,1%,,0.03,reichelt
L,1µH,"0,000001",,,,0.21,reichelt
L,1.5µH,1.5e-06,,,,0.21,reichelt
L,2.2µH,2.2e-06,,,,0.21,reichelt
